student_id,gender,age,department,year_of_study,socio_economic_status,parental_education,hostel_status,attendance_percentage,internal_marks,assignment_score,lab_performance,previous_sem_gpa,backlogs,study_hours_per_week,participation,extracurricular_score,login_frequency,library_usage,online_course_completion,discipline_records,stress_level,current_gpa,pass_fail,at_risk_student
STU00030,Female,19,ECE,1,Medium,Diploma,Day Scholar,71.02,52.46,42.81,49.09,5.42,0,19.88,High,21.01,0.0,5.74,38.2,0,Low,5.48,1,0
STU00031,Male,23,MECH,4,High,Bachelor,Day Scholar,79.7,65.06,56.77,81.66,7.01,1,17.5,Low,27.65,56.41,8.27,26.38,0,Medium,5.82,0,0
STU00032,Female,20,MCA,1,High,Master,Day Scholar,55.0,53.9,74.37,69.9,6.83,1,22.79,Low,26.21,33.09,21.68,52.52,0,Low,5.06,0,1
STU00033,Female,20,MBA,1,Medium,Bachelor,Hosteller,80.65,59.31,69.31,73.23,7.36,0,24.47,Medium,45.16,70.86,9.06,4.69,0,Medium,6.42,1,0
STU00034,Male,21,EEE,4,Medium,Master,Hosteller,89.09,60.59,64.07,88.73,7.54,1,18.93,Medium,0.0,36.87,11.69,41.08,0,Medium,5.88,1,0
STU00035,Male,19,CIVIL,2,Medium,Diploma,Hosteller,74.12,65.9,58.11,80.68,7.48,1,17.33,Low,42.9,53.43,10.87,56.31,0,Low,5.3,1,0
STU00036,Female,21,CIVIL,2,Low,Bachelor,Hosteller,79.68,78.14,56.13,65.17,6.72,0,19.81,Medium,77.13,79.11,14.21,25.27,1,Medium,5.25,1,0
STU00037,Female,21,ECE,2,Low,Bachelor,Day Scholar,64.94,61.87,68.46,65.1,7.97,0,19.88,Medium,46.36,23.87,4.09,50.3,0,Low,4.49,1,1
STU00038,Male,19,MECH,1,High,Diploma,Hosteller,86.46,64.89,65.9,70.04,7.15,1,15.23,Medium,18.43,94.54,8.37,35.79,1,Low,6.44,1,0
STU00039,Female,24,EEE,4,Medium,Diploma,Hosteller,73.29,57.58,91.7,61.61,7.41,0,15.28,High,40.09,80.68,0.66,17.11,0,Low,5.49,1,0
STU00040,Male,21,MCA,3,Medium,Master,Day Scholar,79.87,55.92,47.93,54.72,6.45,0,23.41,High,57.61,40.25,12.15,41.97,0,Medium,5.5,1,0
STU00041,Male,21,MECH,3,High,PhD,Hosteller,62.04,68.86,77.4,76.43,5.46,1,16.0,Medium,88.07,56.91,4.87,54.51,0,Low,5.68,1,1
STU00042,Female,23,EEE,3,Low,Bachelor,Hosteller,71.72,61.76,75.96,65.08,6.77,1,25.08,Medium,56.19,25.66,5.39,29.16,0,Medium,6.71,1,0
STU00043,Female,23,MCA,2,High,Bachelor,Hosteller,99.06,89.56,86.59,61.89,5.88,0,13.35,High,55.01,62.14,5.47,79.92,1,High,8.17,1,0
STU00044,Male,19,ECE,1,Medium,Diploma,Hosteller,89.23,85.58,77.69,90.79,7.77,0,12.53,Medium,79.63,65.73,9.68,33.29,0,Low,7.06,1,0
STU00045,Female,22,ECE,4,Low,PhD,Day Scholar,96.89,90.53,79.7,73.28,7.51,0,13.02,Medium,43.45,18.56,18.74,100.0,0,Medium,7.41,1,0
STU00046,Male,21,CIVIL,2,Low,PhD,Day Scholar,79.26,62.83,54.21,65.43,6.91,1,23.93,Medium,0.0,46.07,8.28,53.7,1,Low,6.12,0,0
STU00047,Female,20,MBA,1,Low,Diploma,Day Scholar,73.05,75.49,46.2,70.53,5.82,0,20.57,Medium,66.55,48.13,16.68,51.24,0,Medium,5.68,1,0
STU00048,Female,20,MECH,3,Medium,Diploma,Hosteller,69.85,68.07,80.68,54.96,4.81,2,15.48,High,26.32,44.79,4.86,72.09,0,Medium,5.46,0,1
STU00049,Female,24,MECH,3,Low,Bachelor,Day Scholar,89.62,81.21,91.7,71.55,7.72,0,22.28,Medium,29.58,21.97,5.26,50.14,0,Medium,6.5,1,0
STU00050,Male,18,MBA,1,Medium,Master,Hosteller,88.2,75.9,74.86,84.53,5.62,0,17.89,Low,39.54,47.2,12.44,50.86,0,High,6.63,1,0
STU00051,Female,23,MECH,2,Medium,Bachelor,Hosteller,90.2,65.83,72.31,92.84,6.17,0,18.23,Low,53.31,56.4,17.09,32.86,0,Low,6.38,1,0
STU00052,Male,18,MCA,1,Low,Bachelor,Day Scholar,98.3,78.06,81.86,55.63,6.5,0,16.48,Medium,66.51,100.0,6.32,24.45,0,Medium,7.23,1,0
STU00053,Male,19,CSE,2,Low,Master,Hosteller,84.09,67.18,68.29,70.2,7.45,0,21.51,Medium,61.07,51.0,7.75,66.35,0,Medium,6.53,1,0
STU00054,Male,20,ECE,3,High,Bachelor,Day Scholar,78.81,56.34,70.94,68.61,4.86,0,16.06,Low,53.27,64.23,8.51,61.72,1,Medium,4.79,1,1
STU00055,Male,20,MCA,1,High,Master,Hosteller,94.27,71.99,74.55,87.05,7.29,0,14.12,Low,54.9,42.52,0.0,48.67,0,High,6.58,1,0
STU00056,Female,23,EEE,3,Medium,Bachelor,Hosteller,85.26,68.74,65.57,58.83,8.97,0,30.69,Medium,72.87,20.18,8.0,33.27,0,High,7.09,1,0
STU00057,Female,22,ECE,4,Medium,Diploma,Day Scholar,79.1,55.15,72.42,74.41,6.89,0,26.48,Low,63.74,56.43,4.97,35.0,0,Medium,5.52,1,0
STU00058,Female,19,MECH,1,Medium,Master,Day Scholar,74.06,49.89,75.51,76.37,5.84,1,13.72,Medium,29.35,78.93,17.31,65.04,0,Medium,5.73,1,0
STU00059,Male,22,MCA,2,Medium,Bachelor,Hosteller,86.68,51.3,64.21,92.23,5.75,1,20.02,Medium,30.27,51.29,17.09,32.53,1,Low,7.32,1,0
STU00060,Male,23,CIVIL,3,Low,Master,Day Scholar,92.78,81.9,54.72,78.13,5.01,0,19.43,Medium,55.46,73.07,14.98,63.29,0,High,5.67,1,0
STU00061,Male,22,MECH,3,Medium,Diploma,Hosteller,83.9,61.43,44.09,70.69,5.93,0,29.85,Medium,14.48,62.66,6.03,72.71,0,Medium,5.38,1,0
STU00062,Female,21,MBA,2,Low,PhD,Day Scholar,100.0,76.23,96.93,62.55,6.45,1,13.4,Medium,28.81,74.77,19.15,87.8,0,Medium,8.14,1,0
STU00063,Female,20,MBA,2,High,Diploma,Day Scholar,88.73,80.16,92.69,48.85,6.8,1,14.07,High,28.19,55.43,21.77,100.0,0,Medium,7.55,0,0
STU00064,Male,18,ECE,1,Medium,No Degree,Day Scholar,86.92,74.2,89.36,73.39,6.74,0,5.89,Low,43.39,41.63,4.88,85.85,0,Low,7.19,1,0
STU00065,Female,24,CIVIL,3,Low,No Degree,Day Scholar,58.64,59.83,60.29,67.37,5.9,0,29.54,High,38.52,60.83,23.97,36.25,1,Medium,5.5,1,1
STU00066,Female,21,ECE,4,Medium,No Degree,Hosteller,74.83,63.18,84.85,84.18,5.7,0,20.28,Low,75.55,77.92,4.49,43.4,0,Medium,5.42,1,0
STU00067,Male,20,ECE,1,Medium,Diploma,Hosteller,82.37,82.94,45.03,86.7,6.13,0,10.06,High,45.1,59.73,18.93,10.37,0,Medium,6.94,1,0
STU00068,Male,20,CIVIL,1,Low,PhD,Hosteller,84.12,80.94,67.94,57.61,7.63,0,16.93,High,44.2,69.31,8.24,32.89,0,Medium,6.34,1,0
STU00069,Male,25,ECE,4,Low,Bachelor,Day Scholar,72.11,64.32,74.27,75.45,6.49,1,17.68,Medium,68.23,40.85,2.39,49.15,0,Medium,5.67,0,0
STU00070,Male,20,MCA,1,Low,Bachelor,Hosteller,84.24,80.27,80.22,70.11,5.22,2,22.84,Medium,74.54,62.44,17.55,42.57,1,Low,6.28,1,1
STU00071,Male,20,CIVIL,3,Medium,Diploma,Hosteller,78.17,84.36,82.75,82.2,8.79,0,12.08,Medium,30.56,49.91,0.0,44.81,0,High,7.19,1,0
STU00072,Female,20,EEE,1,Low,Bachelor,Day Scholar,67.09,54.57,69.53,56.84,5.88,0,19.03,Medium,53.51,63.05,12.07,11.47,0,Low,5.51,1,0
STU00073,Male,22,MECH,3,Medium,Diploma,Day Scholar,69.94,74.67,66.58,54.28,7.05,0,16.63,High,44.25,40.62,15.66,48.91,1,Medium,5.32,1,0
STU00074,Female,22,EEE,3,Medium,PhD,Day Scholar,65.96,62.3,93.25,89.92,7.68,0,11.97,Medium,59.37,51.84,15.36,34.18,1,Low,6.08,1,0
STU00075,Female,21,MBA,1,Low,No Degree,Hosteller,64.76,53.39,75.59,84.1,5.04,1,23.19,High,38.13,23.72,15.73,78.12,1,Medium,5.82,1,1
STU00076,Female,22,MBA,1,Low,No Degree,Hosteller,72.36,74.72,66.66,59.3,6.58,1,20.36,High,54.22,61.41,10.87,32.09,1,Medium,6.72,0,0
STU00077,Male,21,EEE,1,Medium,Master,Hosteller,82.7,80.0,61.16,63.8,8.24,1,17.36,Medium,42.95,55.63,14.84,100.0,0,Low,6.81,1,0
STU00078,Male,22,MCA,2,High,Bachelor,Day Scholar,97.18,50.06,97.23,34.25,7.63,1,20.68,Low,68.02,62.28,15.51,39.71,0,High,7.24,1,0
STU00079,Male,21,MCA,3,Medium,Master,Hosteller,63.7,71.62,76.76,64.17,6.29,0,16.01,Medium,45.15,58.37,14.27,56.11,0,Medium,6.13,1,1
STU00080,Female,22,MECH,3,Medium,Master,Hosteller,81.86,68.99,66.81,66.41,5.89,1,19.39,High,61.99,44.37,23.37,40.51,0,Medium,7.05,1,0
STU00081,Male,22,ECE,2,Low,Bachelor,Hosteller,92.37,80.24,100.0,75.02,6.02,0,6.92,Low,39.43,77.89,15.59,50.51,0,Medium,7.62,1,0
STU00082,Male,24,MCA,3,Low,No Degree,Hosteller,100.0,56.9,71.38,68.44,5.94,1,18.91,Medium,60.95,55.34,30.0,53.78,0,Medium,6.9,0,0
STU00083,Male,18,MBA,1,Low,Bachelor,Day Scholar,59.42,66.22,76.8,48.55,7.86,0,24.79,Low,56.67,68.07,15.12,71.71,1,Low,6.37,1,1
STU00084,Female,21,MBA,4,High,Bachelor,Day Scholar,69.52,62.07,73.73,28.41,9.39,0,14.43,High,83.55,48.05,12.8,37.82,0,Medium,7.09,1,0
STU00085,Female,21,EEE,4,High,No Degree,Day Scholar,79.17,69.76,90.49,63.27,6.17,1,14.89,High,43.88,90.38,15.22,27.2,0,High,6.64,1,0
STU00086,Male,21,MCA,3,Medium,Diploma,Day Scholar,80.05,58.71,77.17,63.17,4.83,1,16.13,Medium,37.46,35.77,11.1,35.94,0,Medium,6.11,1,0
STU00087,Female,21,MECH,4,Medium,Bachelor,Day Scholar,81.42,63.91,51.34,71.34,6.25,0,21.05,Medium,64.31,100.0,9.65,36.53,0,Medium,5.55,1,0
STU00088,Female,23,MECH,2,High,Diploma,Hosteller,63.73,55.32,63.55,68.16,7.08,1,23.77,Low,73.92,66.39,11.78,75.23,0,Medium,5.14,0,1
STU00089,Female,19,CIVIL,1,Medium,Master,Hosteller,90.06,59.08,80.25,61.57,4.52,3,19.06,Low,93.96,58.55,12.13,18.02,0,High,6.69,0,1
STU00090,Male,24,MCA,3,Low,Master,Hosteller,93.54,77.16,100.0,82.34,6.22,0,28.24,Low,84.97,78.74,12.15,44.58,0,Medium,7.58,1,0
STU00091,Female,24,CSE,4,High,Bachelor,Day Scholar,79.35,88.39,67.27,73.89,5.46,1,27.75,Medium,49.07,66.49,11.08,63.2,1,Medium,6.71,1,0
STU00092,Female,25,EEE,4,Medium,Diploma,Day Scholar,76.97,77.69,79.26,73.72,7.13,1,17.88,Medium,13.32,31.77,5.27,69.1,0,Low,6.14,0,0
STU00093,Female,19,MECH,1,Medium,Master,Day Scholar,88.49,100.0,38.6,83.34,4.33,1,18.78,High,26.77,70.61,3.31,81.04,0,High,6.86,1,0
STU00094,Female,20,CIVIL,3,Medium,Diploma,Hosteller,82.38,70.95,68.48,70.04,8.07,0,15.63,Low,33.71,43.92,3.59,31.24,0,Low,7.14,1,0
STU00095,Male,19,CSE,1,Medium,Master,Day Scholar,73.04,40.08,83.44,68.93,6.12,0,9.18,Medium,49.48,87.27,13.22,15.43,0,Medium,5.62,1,0
STU00096,Female,25,MBA,4,Medium,Bachelor,Day Scholar,82.11,49.05,81.99,76.52,6.56,2,8.93,Medium,66.29,51.7,11.42,7.3,0,Medium,5.23,1,1
STU00097,Female,23,EEE,4,Medium,PhD,Hosteller,94.19,90.25,79.69,69.92,5.74,1,13.16,High,60.15,97.66,11.63,16.39,0,Low,7.92,1,0
STU00098,Female,20,CSE,1,Medium,No Degree,Day Scholar,97.89,73.1,84.25,64.52,5.24,0,24.61,Low,34.59,37.59,12.93,62.48,0,Medium,7.27,1,0
STU00099,Male,22,ECE,3,Medium,Diploma,Hosteller,80.9,69.27,32.29,95.06,5.43,0,9.3,Low,28.75,10.94,14.17,22.47,0,Medium,6.08,1,0
STU00100,Male,21,MBA,2,Medium,Diploma,Day Scholar,72.81,71.06,84.82,82.55,5.49,1,16.05,Low,30.83,43.8,22.45,57.69,1,Medium,5.97,0,0
STU00101,Male,20,CSE,3,Medium,Bachelor,Hosteller,64.86,49.16,60.72,62.13,8.9,0,23.67,Medium,39.71,49.27,3.29,69.54,0,Low,5.55,1,1
STU00102,Female,22,ECE,4,Low,Master,Hosteller,77.8,54.53,39.29,66.54,8.24,3,23.72,Medium,35.98,44.71,7.93,0.0,0,Medium,5.41,0,1
STU00103,Female,21,CSE,1,High,Diploma,Hosteller,74.46,53.65,84.72,71.49,5.74,0,15.14,High,77.28,65.94,16.02,0.0,0,Low,4.86,1,1
STU00104,Male,25,ECE,4,Medium,Bachelor,Day Scholar,81.4,59.28,71.79,37.6,5.2,0,23.07,Low,6.17,47.38,18.06,13.71,2,Medium,6.3,1,0
STU00105,Male,22,MBA,3,Medium,Master,Hosteller,76.61,76.99,78.63,62.56,6.66,0,13.01,Medium,47.9,51.14,11.62,9.23,0,Low,6.44,1,0
STU00106,Male,23,CIVIL,2,Low,PhD,Hosteller,80.09,77.17,66.69,71.48,5.71,0,13.84,Low,74.7,48.68,12.12,68.97,1,High,6.18,1,0
STU00107,Male,23,CSE,3,Medium,No Degree,Hosteller,76.43,63.9,67.72,53.79,5.26,0,24.81,Medium,44.34,45.31,19.36,88.78,1,Low,6.0,1,0
STU00108,Male,22,MBA,3,High,Bachelor,Day Scholar,87.27,56.62,72.64,55.12,5.32,1,16.07,Low,32.03,56.03,5.12,60.72,0,Medium,6.13,1,0
STU00109,Female,22,MCA,3,Medium,Bachelor,Day Scholar,94.45,84.76,41.56,79.47,9.59,1,19.69,Low,19.39,79.66,6.26,51.86,0,Medium,7.52,0,0
STU00110,Female,22,MBA,3,Medium,Bachelor,Hosteller,72.4,84.19,58.72,69.77,5.2,1,8.29,Low,86.95,19.76,9.92,81.62,1,Low,6.54,1,0
STU00111,Male,20,ECE,2,Medium,Bachelor,Hosteller,87.77,54.26,68.77,69.37,5.9,0,33.39,Medium,42.57,46.29,18.09,55.99,1,Medium,5.11,1,0
STU00112,Male,24,CIVIL,3,Medium,Bachelor,Hosteller,75.56,56.32,79.45,58.79,5.32,1,16.59,Medium,57.83,55.18,14.3,29.58,0,Low,5.66,0,0
STU00113,Male,19,MECH,2,Low,Diploma,Hosteller,81.48,65.41,71.82,63.53,6.08,2,27.67,Low,57.49,97.41,9.3,53.16,1,High,6.41,1,1
STU00114,Male,21,MBA,4,Medium,Master,Day Scholar,98.74,92.39,52.17,67.42,7.01,0,9.6,Low,52.71,54.8,23.49,43.67,0,High,7.87,1,0
STU00115,Female,22,CIVIL,3,Medium,Bachelor,Hosteller,86.37,65.01,68.54,56.19,5.72,1,18.44,Medium,24.95,48.7,2.42,24.65,1,Low,6.22,0,0
STU00116,Female,21,MCA,2,Low,Bachelor,Day Scholar,66.66,78.24,64.4,60.88,6.74,0,27.23,Low,51.81,59.11,17.4,77.32,1,Low,7.02,1,0
STU00117,Male,21,ECE,2,Low,PhD,Day Scholar,73.46,83.27,81.7,76.28,6.11,0,17.87,Low,31.71,57.58,13.59,40.62,0,Medium,6.72,1,0
STU00118,Female,24,CSE,3,Medium,Master,Day Scholar,100.0,92.49,85.67,76.86,6.7,1,12.76,Medium,44.05,12.89,8.73,43.81,1,High,8.27,1,0
STU00119,Male,22,MECH,4,Medium,PhD,Hosteller,73.8,52.69,69.11,69.32,4.13,0,23.21,Medium,54.02,99.6,19.51,86.22,0,Medium,5.72,1,0
STU00120,Female,18,CIVIL,1,Medium,Master,Day Scholar,71.13,69.86,67.16,47.35,4.75,0,12.7,Low,53.29,59.38,18.39,68.82,0,High,6.43,1,0
STU00121,Male,19,MECH,1,Medium,No Degree,Hosteller,74.94,80.06,93.56,54.61,8.19,0,11.15,High,40.31,48.64,2.65,66.25,0,Medium,7.29,1,0
STU00122,Male,23,CIVIL,2,Medium,Master,Hosteller,67.14,60.4,66.54,61.17,6.58,0,16.58,High,35.94,51.68,11.96,6.49,1,High,6.35,1,0
STU00123,Female,18,MCA,1,Medium,Master,Day Scholar,92.87,58.73,66.7,67.9,7.2,0,8.38,Medium,54.79,16.02,9.32,54.05,0,High,6.82,1,0
STU00124,Female,22,CSE,2,High,Bachelor,Day Scholar,85.86,84.63,63.01,66.4,6.22,1,25.6,High,62.67,48.89,15.85,55.57,0,Medium,6.92,1,0
STU00125,Male,19,MECH,1,Medium,Bachelor,Day Scholar,94.84,80.19,75.19,71.64,7.83,1,11.46,Medium,73.38,62.85,7.75,47.14,0,Low,7.12,1,0
STU00126,Male,22,EEE,2,Medium,Bachelor,Hosteller,74.78,68.56,81.18,78.7,7.16,0,14.6,Low,24.12,43.14,12.12,30.34,0,Low,6.95,1,0
STU00127,Male,25,CIVIL,4,Medium,No Degree,Hosteller,73.97,63.3,85.87,47.77,8.86,0,5.0,Medium,43.05,40.62,10.41,39.54,0,High,6.61,1,0
STU00128,Female,24,CIVIL,3,Medium,Diploma,Hosteller,76.63,62.05,78.55,90.58,7.2,0,9.7,Low,37.02,49.64,1.67,70.48,0,Low,6.19,1,0
STU00129,Female,19,MCA,2,Medium,Bachelor,Day Scholar,75.11,60.7,65.14,80.5,5.56,1,27.69,Low,24.67,54.98,9.06,41.41,0,Low,5.55,1,0
STU00130,Male,24,MBA,3,High,Bachelor,Day Scholar,58.88,60.05,89.52,82.47,5.8,0,20.76,Medium,0.0,77.2,10.72,95.78,1,Medium,5.05,1,1
STU00131,Male,24,MECH,3,Medium,Master,Hosteller,67.96,47.36,90.69,57.77,8.28,2,19.98,Medium,38.86,68.21,11.91,40.77,0,Medium,6.25,1,1
STU00132,Female,19,MCA,1,High,Diploma,Hosteller,86.84,65.74,67.86,86.45,6.08,0,29.23,Medium,44.05,90.37,3.61,62.95,0,High,5.75,1,0
STU00133,Female,24,MBA,4,High,Bachelor,Hosteller,89.55,70.96,55.6,89.07,6.06,0,7.43,Low,32.08,25.91,8.26,68.61,0,Medium,6.44,1,0
STU00134,Female,23,CIVIL,4,Medium,Bachelor,Day Scholar,73.23,78.24,67.8,79.07,7.31,1,13.45,Medium,60.56,47.2,14.1,38.45,0,Low,6.72,1,0
STU00135,Female,19,CSE,1,High,Bachelor,Hosteller,100.0,87.71,79.1,87.22,4.12,3,19.23,Low,63.41,32.23,14.4,50.36,0,High,7.17,0,1
STU00136,Female,25,ECE,4,Medium,No Degree,Day Scholar,75.01,34.31,24.06,80.42,7.98,0,16.19,Low,82.75,54.65,4.24,39.51,0,Low,5.8,1,0
STU00137,Female,23,ECE,3,Low,Master,Hosteller,75.11,72.06,61.24,72.57,4.77,1,24.95,Medium,40.98,52.28,4.73,68.99,0,Low,6.03,0,0
STU00138,Female,23,CSE,4,Medium,Diploma,Day Scholar,76.74,54.49,69.8,80.1,5.24,1,23.65,Low,43.15,38.0,12.55,19.91,0,High,6.25,0,0
STU00139,Female,23,MBA,2,Medium,Diploma,Hosteller,78.53,95.42,80.16,67.2,7.32,0,8.22,Medium,28.15,50.26,9.5,41.68,0,Low,7.5,1,0
STU00140,Female,22,EEE,4,Medium,No Degree,Day Scholar,70.43,67.11,48.06,79.82,6.64,1,15.37,Low,30.48,44.04,10.84,47.73,0,Medium,6.02,1,0
STU00141,Male,24,MCA,3,Low,PhD,Day Scholar,95.1,95.5,88.29,82.8,6.25,0,15.97,Low,57.43,40.59,10.85,0.0,0,Medium,8.62,1,0
STU00142,Male,19,MBA,2,High,Master,Day Scholar,80.09,85.13,53.49,69.31,8.23,1,21.19,Medium,84.38,23.34,21.66,36.01,0,Medium,7.27,0,0
STU00143,Male,20,MCA,1,Medium,Diploma,Day Scholar,75.23,66.74,80.49,83.0,6.13,0,18.46,Medium,54.41,25.79,6.66,32.02,0,Medium,5.48,1,0
STU00144,Male,20,CSE,1,Low,Diploma,Day Scholar,73.99,61.18,72.08,61.24,8.27,2,18.74,Medium,69.29,42.99,16.6,51.05,1,Medium,6.58,1,1
STU00145,Male,22,CIVIL,3,Medium,Bachelor,Hosteller,83.57,59.41,88.19,53.4,6.65,0,5.09,Low,85.37,46.49,12.85,64.29,0,Medium,6.67,1,0
STU00146,Female,22,MCA,4,Low,Diploma,Day Scholar,100.0,68.11,97.43,70.54,7.77,1,16.48,Medium,76.58,63.77,17.62,0.0,1,Medium,7.23,1,0
STU00147,Male,22,MBA,2,Medium,No Degree,Day Scholar,81.37,83.21,86.86,70.86,7.55,0,17.48,High,31.14,42.3,17.03,48.95,1,High,7.52,1,0
STU00148,Female,24,ECE,4,Medium,Bachelor,Hosteller,90.39,55.68,81.62,80.73,6.28,0,20.51,Medium,51.9,66.65,15.37,25.45,0,Low,5.52,1,0
STU00149,Female,23,ECE,3,High,Bachelor,Day Scholar,84.07,71.42,47.13,74.93,6.43,0,15.65,Medium,28.97,39.58,8.77,50.47,0,Low,6.08,1,0
STU00150,Female,20,CIVIL,2,Low,Master,Hosteller,64.2,72.58,54.19,81.8,6.25,2,23.84,Medium,53.7,46.11,15.67,80.23,1,Medium,6.04,0,1
STU00151,Female,18,MECH,1,High,Bachelor,Day Scholar,78.21,76.66,80.59,73.5,4.86,1,17.51,Medium,38.15,45.23,21.26,84.65,0,Medium,6.52,1,0
STU00152,Male,22,CIVIL,3,Medium,Master,Hosteller,71.81,73.66,55.77,64.18,5.87,1,12.19,High,31.02,80.11,8.58,45.3,0,Medium,6.45,1,0
STU00153,Female,24,EEE,3,Low,No Degree,Hosteller,71.07,65.35,64.71,56.26,6.71,0,12.28,High,15.42,23.72,9.77,47.87,0,High,6.36,1,0
